8
耕	밭갈 경
頃	이랑 경
頃	잠깐 경
啓	열 계
契	맺을 계
械	기계 계
溪	시내 계
姑	시어미 고
稿	볏집 고
稿	원고 고
鼓	북 고
哭	울 곡
谷	골 곡
供	이바지할 공
恐	두려울 공
恭	공손할 공
貢	바칠 공
寡	적을 과
誇	자랑할 과
冠	갓 관
寬	너그러울 관
慣	익숙할 관
貫	꿸 관
館	집 관
壞	무너질 괴
怪	괴이할 괴
巧	공교할 교
較	비교 교
久	오랠 구
拘	잡을 구
菊	국화 국
弓	활 궁
拳	주먹 권
鬼	귀신 귀
克	이길 극
琴	거문고 금
禽	새 금
錦	비단 금
及	미칠 급
企	꾀할 기
其	그 기
畿	경기 기
祈	빌 기
緊	긴할 긴
諾	허락할 낙
娘	계집 낭
乃	이에 내
耐	견딜 내
寧	편안 녕
奴	종 노
腦	골 뇌
茶	차 다
茶	차 차
丹	붉을 단
但	다만 단
旦	아침 단
淡	맑을 담
踏	밟을 답
唐	당나라 당
臺	대 대
刀	칼 도
途	길 도
陶	질그릇 도
突	갑자기 돌
絡	이을 락
欄	난간 란
蘭	난초 란
廊	사랑채 랑
浪	물결 랑
郞	사내 랑
凉	서늘할 량
勵	힘쓸 려
曆	책력 력
戀	그리워할 련
聯	연이을 련
鍊	단련할 련
鍊	쇠불릴 련
嶺	고개 령
靈	신령 령
爐	화로 로
露	이슬 로
弄	희롱할 롱
賴	의뢰할 뢰
樓	다락 루
倫	인륜 륜
栗	밤 률
率	비율 률
率	거느릴 솔
隆	높을 륭
陵	언덕 릉
吏	관리 리
履	밟을 리
裏	속 리
臨	임할 림
幕	장막 막
漠	넓을 막
莫	없을 막
妄	망녕될 망
梅	매화 매
孟	맏 맹
猛	사나울 맹
盲	소경 맹
盟	맹세 맹
眠	잘 면
綿	솜 면
滅	멸할 멸
銘	새길 명
慕	그릴 모
謀	꾀 모
貌	모양 모
睦	화목할 목
沒	빠질 몰
夢	꿈 몽
蒙	어두울 몽
茂	무성할 무
貿	무역할 무
默	잠잠할 묵
勿	말 물
微	작을 미
薄	엷을 박
迫	핍박할 박
飯	밥 반
培	북돋울 배
排	밀칠 배
輩	무리 배
伯	맏 백
繁	번성할 번
凡	무릇 범
碧	푸를 벽
丙	남녘 병
補	기울 보
腹	배 복
封	봉할 봉
峯	봉오리 봉
逢	만날 봉
付	부칠 부
扶	도울 부
浮	뜰 부
符	부호 부
簿	문서 부
附	붙을 부
奔	달릴 분
奮	떨칠 분
紛	어지러울 분
卑	낮을 비
妃	왕비 비
婢	계집종 비
肥	살찔 비
司	맡을 사
沙	모래 사
祀	제사 사
詞	말 사
邪	간사할 사
森	수풀 삼
像	모양 상
喪	잃을 상
尙	오히려 상
裳	치마 상
詳	자세할 상
霜	서리 상
索	찾을 색
索	노 삭
徐	천천할 서
恕	용서할 서
緖	실마리 서
署	관청 서
惜	아낄 석
釋	풀 석
旋	돌 선
疎	드물 소
蘇	되살아날 소
訴	호소할 소
刷	인쇄할 쇄
衰	쇠할 쇠
壽	목숨 수
帥	장수 수
愁	근심 수
殊	다를 수
獸	짐승 수
輸	보낼 수
隨	따를 수
需	쓰일 수
淑	맑을 숙
熟	익을 숙
巡	순행할 순
旬	열흘 순
瞬	눈깜짝일 순
述	펼 술
拾	주울 습
拾	열 십
襲	엄습할 습
乘	탈 승
僧	중 승
昇	오를 승
侍	모실 시
飾	꾸밀 식
愼	삼갈 신
審	살필 심
甚	심할 심
雙	두 쌍
亞	버금 아
我	나 아
阿	언덕 아
雅	맑을 아
岸	언덕 안
顔	낯 안
岩	바위 암
仰	우러를 앙
央	가운데 앙
哀	슬플 애
若	같을 약
若	반야 야
壤	흙덩이 양
揚	날릴 양
讓	사양할 양
御	거느릴 어
憶	생각할 억
抑	누를 억
亦	또 역
役	부릴 역
譯	번역할 역
驛	역 역
宴	잔치 연
沿	따를 연
軟	연할 연
悅	기쁠 열
染	물들 염
影	그림자 영
譽	기릴 예
悟	깨달을 오
烏	까마귀 오
獄	옥 옥
慾	욕심 욕
欲	하고자할 욕
辱	욕될 욕
偶	짝 우
宇	집 우
